,filename,variables,clauses,SAT,time_cryptosat,result_random,time_random,branches_random,implications_random,result_two_clause,time_two_clause,branches_two_clause,implications_two_clause,result_max_freq,time_max_freq,branches_max_freq,implications_max_freq,result_DLCS,time_DLCS,branches_DLCS,implications_DLCS,result_VSIDS,time_VSIDS,branches_VSIDS,implications_VSIDS
0,randN75_K3_R4.3_L323_129.cnf,75,323,False,0.000608,UNSAT,22.442314,2329,38215,UNSAT,0.397575,116,2531,UNSAT,0.594157,188,3967,UNSAT,0.44536,148,2680,UNSAT,0.545701,191,3716
1,randN75_K3_R4.3_L323_222.cnf,75,323,False,0.000878,UNSAT,57.804658,3670,63617,UNSAT,0.528051,148,3316,UNSAT,0.88222,254,5786,UNSAT,0.983657,245,5313,UNSAT,0.999866,310,5895
2,randN75_K3_R4.3_L323_131.cnf,75,323,False,0.000841,UNSAT,10.670085,1536,25548,UNSAT,0.386064,116,2689,UNSAT,0.532039,167,3981,UNSAT,0.696038,190,4107,UNSAT,0.537849,191,3613
3,randN75_K3_R4.3_L323_258.cnf,75,323,False,0.000623,UNSAT,10.961319,1530,26189,UNSAT,0.333771,103,2287,UNSAT,0.710406,211,4988,UNSAT,0.599613,159,3861,UNSAT,0.471433,164,3485
4,randN75_K3_R4.3_L323_166.cnf,75,323,False,0.001024,UNSAT,26.994578,2420,41692,UNSAT,0.5612,139,3387,UNSAT,1.276762,307,6920,UNSAT,1.266293,280,6293,UNSAT,1.853579,404,8703
5,randN75_K3_R4.3_L323_165.cnf,75,323,False,0.000427,UNSAT,13.547367,1767,28635,UNSAT,0.085812,32,724,UNSAT,0.216551,81,1878,UNSAT,0.225722,79,1698,UNSAT,0.233238,99,1882
6,randN75_K3_R4.3_L323_229.cnf,75,323,False,0.000701,UNSAT,23.126795,2244,39157,UNSAT,0.616934,169,4010,UNSAT,0.784623,219,4862,UNSAT,0.684369,179,4144,UNSAT,0.853988,269,5346
7,randN75_K3_R4.3_L323_143.cnf,75,323,False,0.000507,UNSAT,19.04928,2099,34710,UNSAT,0.29885,89,2069,UNSAT,0.307667,105,2388,UNSAT,0.306669,93,1899,UNSAT,0.416417,169,2909
8,randN75_K3_R4.3_L323_188.cnf,75,323,False,0.000527,UNSAT,28.209401,2537,42116,UNSAT,0.459687,134,3042,UNSAT,0.331461,119,2502,UNSAT,0.43732,138,2810,UNSAT,0.389902,142,2843
9,randN75_K3_R4.3_L323_118.cnf,75,322,False,0.000625,UNSAT,11.0468,1547,25159,UNSAT,0.427693,124,2971,UNSAT,0.529694,186,3832,UNSAT,0.575275,158,3886,UNSAT,0.784014,239,4996
10,randN75_K3_R4.3_L323_127.cnf,75,323,False,0.000647,UNSAT,17.716626,2023,33431,UNSAT,0.548308,151,3565,UNSAT,0.505731,173,3628,UNSAT,0.479745,131,2980,UNSAT,0.404691,159,2901
11,randN75_K3_R4.3_L323_186.cnf,75,322,False,0.000616,UNSAT,8.695402,1339,23534,UNSAT,0.271892,87,1853,UNSAT,0.631428,204,4143,UNSAT,0.753605,226,4137,UNSAT,0.632583,203,4353
12,randN75_K3_R4.3_L323_112.cnf,75,323,False,0.000491,UNSAT,7.715513,1356,20382,UNSAT,0.216407,67,1548,UNSAT,0.39324,152,2997,UNSAT,0.484658,161,2876,UNSAT,0.4057,161,2788
