,filename,variables,clauses,SAT,time_cryptosat,result_two_clause,time_two_clause,branches_two_clause,implications_two_clause,result_max_freq,time_max_freq,branches_max_freq,implications_max_freq,result_DLCS,time_DLCS,branches_DLCS,implications_DLCS,result_VSIDS,time_VSIDS,branches_VSIDS,implications_VSIDS
0,randN125_K3_R4.3_L538_118.cnf,125,538,False,0.008016,UNSAT,9.442789,763,23275,UNSAT,30.257774,1554,50920,UNSAT,20.91768,1424,38649,UNSAT,32.688953,1852,50388
1,randN125_K3_R4.3_L538_130.cnf,125,538,False,0.008436,UNSAT,8.445554,688,22539,UNSAT,32.820187,1627,55259,UNSAT,57.907326,2254,70763,UNSAT,28.85409,1677,50335
2,randN125_K3_R4.3_L538_207.cnf,125,538,False,0.005726,UNSAT,10.926953,800,25917,UNSAT,63.810466,2577,74355,UNSAT,34.713924,1786,49798,UNSAT,55.681686,2538,67970
3,randN125_K3_R4.3_L538_116.cnf,125,538,False,0.002069,UNSAT,13.450301,939,29212,UNSAT,11.764747,916,28882,UNSAT,8.008858,727,20686,UNSAT,8.532461,888,23256
4,randN125_K3_R4.3_L538_213.cnf,125,538,False,0.00514,UNSAT,5.048662,519,15629,UNSAT,8.558376,818,23424,UNSAT,9.082755,798,22836,UNSAT,14.197057,1218,31656
5,randN125_K3_R4.3_L538_175.cnf,125,538,False,0.004789,UNSAT,9.128606,761,23727,UNSAT,19.967883,1368,39948,UNSAT,22.300664,1344,39569,UNSAT,16.852189,1282,35822
6,randN125_K3_R4.3_L538_134.cnf,125,538,False,0.006296,UNSAT,27.057173,1450,43147,UNSAT,42.629961,2031,61420,UNSAT,26.936801,1525,43670,UNSAT,34.819729,1815,52089
7,randN125_K3_R4.3_L538_142.cnf,125,538,False,0.00756,UNSAT,20.98163,1236,38661,UNSAT,40.592436,1910,62310,UNSAT,23.450272,1376,40924,UNSAT,32.281127,1830,51530
8,randN125_K3_R4.3_L538_252.cnf,125,538,False,0.006974,UNSAT,16.268365,1037,33059,UNSAT,38.743582,1855,59742,UNSAT,30.917134,1627,48818,UNSAT,24.145243,1460,42959
9,randN125_K3_R4.3_L538_200.cnf,125,538,False,0.005742,UNSAT,13.881787,971,30315,UNSAT,15.488909,1110,35918,UNSAT,19.106473,1175,36999,UNSAT,16.246619,1200,35775
10,randN125_K3_R4.3_L538_188.cnf,125,538,False,0.005254,UNSAT,21.375283,1231,38687,UNSAT,27.132725,1539,49245,UNSAT,21.238684,1422,39142,UNSAT,26.502342,1622,46582
