,filename,variables,clauses,SAT,time_cryptosat,result_random,time_random,branches_random,implications_random,result_two_clause,time_two_clause,branches_two_clause,implications_two_clause,result_max_freq,time_max_freq,branches_max_freq,implications_max_freq,result_DLCS,time_DLCS,branches_DLCS,implications_DLCS,result_VSIDS,time_VSIDS,branches_VSIDS,implications_VSIDS
0,randN75_K3_R4.3_L323_39.cnf,75,323,True,0.00043,SAT,4.269629,863,15158,SAT,0.29866,96,2060,SAT,0.281043,109,2264,SAT,0.031859,23,154,SAT,0.018153,22,107
1,randN75_K3_R4.3_L323_205.cnf,75,323,True,0.000552,SAT,0.165333,95,1484,SAT,0.363079,125,2335,SAT,0.268856,114,2142,SAT,0.230894,85,1487,SAT,0.144936,67,1148
2,randN75_K3_R4.3_L323_243.cnf,75,323,True,4.2e-05,SAT,0.042589,33,324,SAT,0.057698,29,385,SAT,0.396869,132,2721,SAT,0.127096,56,774,SAT,0.014887,21,68
3,randN75_K3_R4.3_L323_187.cnf,75,323,True,0.000627,SAT,3.525375,804,13006,SAT,0.030578,20,199,SAT,0.455433,157,2969,SAT,0.423144,127,2620,SAT,0.629375,209,4043
4,randN75_K3_R4.3_L323_226.cnf,75,323,True,4.1e-05,SAT,0.864822,304,5134,SAT,0.094207,42,724,SAT,0.142631,85,1142,SAT,0.182926,78,1140,SAT,0.032021,37,213
5,randN75_K3_R4.3_L323_161.cnf,75,322,True,4.6e-05,SAT,1.139661,366,5938,SAT,0.109961,44,796,SAT,0.082778,45,693,SAT,0.030637,30,93,SAT,0.071656,53,532
6,randN75_K3_R4.3_L323_104.cnf,75,323,True,0.000473,SAT,5.179761,1013,16526,SAT,0.019463,15,144,SAT,0.064563,35,593,SAT,0.27398,98,1822,SAT,0.153128,83,1163
7,randN75_K3_R4.3_L323_237.cnf,75,323,True,0.000688,SAT,10.92573,1401,25744,SAT,0.360524,106,2682,SAT,0.281319,101,2233,SAT,0.360058,114,2258,SAT,0.161045,104,1256
8,randN75_K3_R4.3_L323_2.cnf,75,323,True,2.9e-05,SAT,1.981013,576,8908,SAT,0.153169,58,1282,SAT,0.109484,61,995,SAT,0.029375,23,149,SAT,0.010285,17,59
9,randN75_K3_R4.3_L323_224.cnf,75,323,True,0.000628,SAT,1.354817,393,6822,SAT,0.389699,118,2603,SAT,0.26813,129,1947,SAT,0.116261,61,686,SAT,0.062363,56,507
10,randN75_K3_R4.3_L323_125.cnf,75,323,True,0.000503,SAT,2.465105,617,10449,SAT,0.055394,24,478,SAT,0.594448,202,4089,SAT,0.598981,179,3606,SAT,0.016225,23,120
11,randN75_K3_R4.3_L323_11.cnf,75,323,True,0.000163,SAT,17.389842,1915,32749,SAT,0.888754,210,5106,SAT,0.899244,254,5309,SAT,0.174663,70,1054,SAT,0.05607,35,424
12,randN75_K3_R4.3_L323_120.cnf,75,323,True,0.000525,SAT,7.556068,1247,20081,SAT,0.21725,70,1562,SAT,0.159675,69,1274,SAT,0.388989,120,2452,SAT,0.03433,24,285
13,randN75_K3_R4.3_L323_176.cnf,75,322,True,0.000848,SAT,0.077385,41,667,SAT,0.037528,21,321,SAT,0.132042,65,1149,SAT,0.247375,83,1688,SAT,0.143105,71,1095
14,randN75_K3_R4.3_L323_244.cnf,75,323,True,0.000405,SAT,8.382741,1353,21667,SAT,0.114062,47,916,SAT,0.021556,14,198,SAT,0.82654,226,4212,SAT,0.166415,86,1336
15,randN75_K3_R4.3_L323_232.cnf,75,322,True,0.00061,SAT,23.192872,2216,38388,SAT,0.543537,156,3442,SAT,0.245619,89,1933,SAT,0.086278,42,537,SAT,0.062785,33,537
16,randN75_K3_R4.3_L323_100.cnf,75,323,True,0.000135,SAT,0.818327,316,4930,SAT,0.04708,30,289,SAT,0.336074,143,2514,SAT,0.044253,38,169,SAT,0.044922,44,307
17,randN75_K3_R4.3_L323_281.cnf,75,323,True,5.2e-05,SAT,2.490327,634,10152,SAT,0.231376,85,1715,SAT,0.013374,15,77,SAT,0.019587,18,58,SAT,0.017207,27,79
18,randN75_K3_R4.3_L323_274.cnf,75,323,True,9.4e-05,SAT,0.362571,178,2550,SAT,0.076451,35,598,SAT,0.177779,86,1681,SAT,0.04081,26,241,SAT,0.021017,30,117
19,randN75_K3_R4.3_L323_242.cnf,75,323,True,4.7e-05,SAT,0.589648,246,3506,SAT,0.063182,34,441,SAT,0.017174,19,95,SAT,0.022565,22,83,SAT,0.015246,29,57
20,randN75_K3_R4.3_L323_160.cnf,75,323,True,0.000115,SAT,0.496329,218,3344,SAT,0.058789,34,411,SAT,0.033193,29,237,SAT,0.020122,15,81,SAT,0.014051,25,50
21,randN75_K3_R4.3_L323_162.cnf,75,323,True,0.000693,SAT,0.484966,208,3256,SAT,0.333924,104,2477,SAT,0.26588,104,2280,SAT,0.052835,26,344,SAT,0.027359,30,172
22,randN75_K3_R4.3_L323_252.cnf,75,323,True,0.00012,SAT,0.775132,305,4412,SAT,0.31822,108,2067,SAT,0.131401,61,1090,SAT,0.174647,64,1115,SAT,0.039141,35,267
23,randN75_K3_R4.3_L323_57.cnf,75,322,True,0.000257,SAT,2.876659,716,11402,SAT,0.197037,68,1308,SAT,0.014555,20,87,SAT,0.087379,40,565,SAT,0.059118,49,339
24,randN75_K3_R4.3_L323_183.cnf,75,323,True,0.000521,SAT,0.55561,201,3544,SAT,0.273381,89,1913,SAT,1.074682,303,6112,SAT,0.336886,103,2189,SAT,0.026261,28,206
25,randN75_K3_R4.3_L323_241.cnf,75,322,True,0.000171,SAT,0.1356,87,966,SAT,0.139039,56,995,SAT,0.380707,143,2985,SAT,0.118634,58,719,SAT,0.058731,40,461
26,randN75_K3_R4.3_L323_174.cnf,75,323,True,0.000223,SAT,2.698093,655,11107,SAT,0.355597,118,2534,SAT,0.417149,139,3202,SAT,0.457136,144,2965,SAT,0.489079,178,3643
27,randN75_K3_R4.3_L323_261.cnf,75,322,True,0.000677,SAT,0.044021,33,396,SAT,0.1606,58,1138,SAT,0.462346,175,3105,SAT,0.138311,59,854,SAT,0.084196,64,582
28,randN75_K3_R4.3_L323_79.cnf,75,322,True,0.000394,SAT,0.352906,170,2688,SAT,0.222421,77,1661,SAT,0.08756,46,692,SAT,0.024083,15,146,SAT,0.178563,81,1140
29,randN75_K3_R4.3_L323_255.cnf,75,323,True,0.001045,SAT,2.44092,628,10482,SAT,0.085284,37,579,SAT,1.230927,344,6782,SAT,0.159152,67,1171,SAT,0.482805,167,3154
30,randN75_K3_R4.3_L323_192.cnf,75,322,True,0.001066,SAT,2.994305,677,11813,SAT,0.205483,74,1377,SAT,1.816406,379,8659,SAT,1.80643,377,7891,SAT,1.101095,329,6023
31,randN75_K3_R4.3_L323_74.cnf,75,323,True,0.000164,SAT,1.813274,534,8146,SAT,0.018485,15,100,SAT,0.450907,165,3176,SAT,0.267992,99,1735,SAT,0.168996,77,1405
32,randN75_K3_R4.3_L323_55.cnf,75,323,True,3.2e-05,SAT,7.000632,1322,19186,SAT,0.242186,91,1724,SAT,0.120453,54,996,SAT,0.042008,29,232,SAT,0.021478,23,170
33,randN75_K3_R4.3_L323_89.cnf,75,323,True,0.000358,SAT,14.934598,1870,30234,SAT,0.489785,146,3307,SAT,0.54908,176,3936,SAT,0.654752,205,3762,SAT,0.612399,213,4030
34,randN75_K3_R4.3_L323_45.cnf,75,323,True,0.000525,SAT,28.536156,2641,42187,SAT,0.098194,39,736,SAT,0.685185,206,4361,SAT,0.545018,180,2980,SAT,0.260558,108,1791
35,randN75_K3_R4.3_L323_234.cnf,75,323,True,0.00053,SAT,0.464861,187,3054,SAT,0.101048,44,682,SAT,0.182595,77,1496,SAT,0.547693,167,3376,SAT,0.079241,49,605
36,randN75_K3_R4.3_L323_53.cnf,75,323,True,0.000542,SAT,5.167855,978,16366,SAT,0.273326,81,2079,SAT,0.12838,63,1282,SAT,0.276613,90,1907,SAT,0.074357,38,558
