,filename,variables,clauses,SAT,time_cryptosat,result_random,time_random,branches_random,implications_random,result_two_clause,time_two_clause,branches_two_clause,implications_two_clause,result_max_freq,time_max_freq,branches_max_freq,implications_max_freq,result_DLCS,time_DLCS,branches_DLCS,implications_DLCS,result_VSIDS,time_VSIDS,branches_VSIDS,implications_VSIDS
0,randN50_K3_R4.3_L215_3.cnf,50,215,True,5.4e-05,SAT,0.027186,26,279,SAT,0.009022,12,68,SAT,0.065403,50,817,SAT,0.024301,25,171,SAT,0.004674,13,41
1,randN50_K3_R4.3_L215_272.cnf,50,215,True,7.6e-05,SAT,0.216066,145,1962,SAT,0.012469,13,95,SAT,0.027985,27,395,SAT,0.087304,50,846,SAT,0.099004,81,995
2,randN50_K3_R4.3_L215_51.cnf,50,215,True,5.1e-05,SAT,0.049448,41,555,SAT,0.015635,16,116,SAT,0.065197,52,727,SAT,0.083205,64,687,SAT,0.031971,39,310
3,randN50_K3_R4.3_L215_210.cnf,50,215,True,2.1e-05,SAT,0.029174,39,325,SAT,0.023891,20,250,SAT,0.048095,43,542,SAT,0.008528,13,38,SAT,0.006235,20,31
4,randN50_K3_R4.3_L215_237.cnf,50,215,True,0.00014,SAT,0.512895,265,3619,SAT,0.010423,15,76,SAT,0.109364,81,1186,SAT,0.03384,27,321,SAT,0.026497,35,213
5,randN50_K3_R4.3_L215_111.cnf,50,215,True,8.9e-05,SAT,0.133988,120,1311,SAT,0.011313,10,106,SAT,0.027417,24,310,SAT,0.036614,28,337,SAT,0.019056,21,211
6,randN50_K3_R4.3_L215_53.cnf,50,215,True,1.6e-05,SAT,0.491197,257,3406,SAT,0.057571,41,522,SAT,0.036805,33,505,SAT,0.054263,42,473,SAT,0.019778,30,205
7,randN50_K3_R4.3_L215_233.cnf,50,214,True,2.6e-05,SAT,0.012686,15,132,SAT,0.010235,16,59,SAT,0.025684,29,307,SAT,0.016334,17,125,SAT,0.006544,15,51
8,randN50_K3_R4.3_L215_137.cnf,50,215,True,9.2e-05,SAT,0.008946,19,65,SAT,0.039516,28,433,SAT,0.005517,14,38,SAT,0.009306,12,56,SAT,0.017966,26,183
9,randN50_K3_R4.3_L215_118.cnf,50,215,True,3.7e-05,SAT,0.263525,190,2511,SAT,0.057325,39,562,SAT,0.041661,34,447,SAT,0.037668,25,363,SAT,0.014169,17,153
10,randN50_K3_R4.3_L215_136.cnf,50,215,True,5e-05,SAT,0.205429,145,1772,SAT,0.040405,28,415,SAT,0.019034,19,230,SAT,0.050283,35,421,SAT,0.028187,33,339
11,randN50_K3_R4.3_L215_265.cnf,50,215,True,5.9e-05,SAT,0.161991,123,1548,SAT,0.039534,25,395,SAT,0.033586,30,369,SAT,0.038514,26,389,SAT,0.02448,29,292
