,filename,variables,clauses,SAT,time_cryptosat,result_two_clause,time_two_clause,branches_two_clause,implications_two_clause,result_max_freq,time_max_freq,branches_max_freq,implications_max_freq,result_DLCS,time_DLCS,branches_DLCS,implications_DLCS,result_VSIDS,time_VSIDS,branches_VSIDS,implications_VSIDS
73,randN100_K3_R4.3_L430_188.cnf,100,430,False,0.00198,UNSAT,2.56785,369,10816,UNSAT,3.959805,527,15520,UNSAT,3.910417,512,13616,UNSAT,5.342326,695,18797
74,randN100_K3_R4.3_L430_183.cnf,100,430,False,0.001813,UNSAT,1.928083,295,8686,UNSAT,7.635184,799,23009,UNSAT,4.901664,617,15266,UNSAT,7.581374,898,21781
75,randN100_K3_R4.3_L430_223.cnf,100,430,False,0.003245,UNSAT,2.979929,413,11111,UNSAT,9.098761,904,24899,UNSAT,3.641373,497,12604,UNSAT,6.302653,783,19251
76,randN100_K3_R4.3_L430_207.cnf,100,430,False,0.002927,UNSAT,4.442811,531,15055,UNSAT,8.769565,898,25031,UNSAT,15.310815,1189,30578,UNSAT,10.839938,1129,26273
77,randN100_K3_R4.3_L430_203.cnf,100,430,False,0.001699,UNSAT,3.504157,473,12633,UNSAT,3.544774,503,12909,UNSAT,2.643625,437,9703,UNSAT,2.034692,413,9082
78,randN100_K3_R4.3_L430_239.cnf,100,430,False,0.00184,UNSAT,1.405325,234,7000,UNSAT,3.037402,486,12709,UNSAT,5.153906,644,15639,UNSAT,2.089455,396,9373
79,randN100_K3_R4.3_L430_153.cnf,100,430,False,0.002407,UNSAT,3.66076,455,12623,UNSAT,7.682266,773,21698,UNSAT,5.770136,674,16756,UNSAT,6.639369,801,18662
80,randN100_K3_R4.3_L430_200.cnf,100,430,False,0.004494,UNSAT,3.280124,425,11568,UNSAT,5.295544,671,17065,UNSAT,8.433082,834,21388,UNSAT,12.624542,1190,28888
81,randN100_K3_R4.3_L430_1.cnf,100,429,False,0.001719,UNSAT,3.347395,441,12343,UNSAT,3.72078,533,14841,UNSAT,5.131752,619,16247,UNSAT,5.821579,789,19453
82,randN100_K3_R4.3_L430_159.cnf,100,430,False,0.002304,UNSAT,4.493146,549,15115,UNSAT,5.354519,705,18632,UNSAT,4.744933,621,15556,UNSAT,5.562606,698,17871
83,randN100_K3_R4.3_L430_209.cnf,100,430,False,0.001509,UNSAT,1.188936,222,6219,UNSAT,4.797081,628,17148,UNSAT,5.066925,638,15837,UNSAT,3.075823,571,12005
84,randN100_K3_R4.3_L430_13.cnf,100,429,False,0.002226,UNSAT,1.992893,326,8742,UNSAT,7.719448,843,22436,UNSAT,6.36937,787,17217,UNSAT,7.187232,844,21177
85,randN100_K3_R4.3_L430_238.cnf,100,430,False,0.001656,UNSAT,2.351292,370,9714,UNSAT,7.241018,870,21620,UNSAT,6.48811,796,17981,UNSAT,4.827,680,16345
86,randN100_K3_R4.3_L430_135.cnf,100,430,False,0.001885,UNSAT,2.552796,379,10622,UNSAT,6.900533,801,21576,UNSAT,5.125328,646,16859,UNSAT,9.126991,1014,24324
87,randN100_K3_R4.3_L430_123.cnf,100,430,False,0.002283,UNSAT,4.059663,514,14132,UNSAT,3.243296,488,12870,UNSAT,3.633121,498,12826,UNSAT,3.260844,510,12343
88,randN100_K3_R4.3_L430_116.cnf,100,430,False,0.002497,UNSAT,2.706977,388,10337,UNSAT,6.686283,791,20339,UNSAT,9.67558,963,24147,UNSAT,9.444062,1034,25077
89,randN100_K3_R4.3_L430_18.cnf,100,430,False,0.002581,UNSAT,2.369768,356,9959,UNSAT,5.831069,681,20141,UNSAT,8.70904,914,22992,UNSAT,6.958672,872,20671
90,randN100_K3_R4.3_L430_154.cnf,100,430,False,0.002061,UNSAT,2.578474,384,10724,UNSAT,4.306553,594,15804,UNSAT,3.971384,570,13218,UNSAT,4.852401,680,16241
91,randN100_K3_R4.3_L430_187.cnf,100,430,False,0.002815,UNSAT,2.989574,415,11672,UNSAT,7.411431,813,22242,UNSAT,9.979657,939,24038,UNSAT,9.721152,1061,24914
92,randN100_K3_R4.3_L430_192.cnf,100,430,False,0.001785,UNSAT,2.297523,338,9665,UNSAT,5.035711,672,17406,UNSAT,4.087162,568,14142,UNSAT,2.96495,511,12098
93,randN100_K3_R4.3_L430_249.cnf,100,430,False,0.002018,UNSAT,2.489492,371,10283,UNSAT,4.544146,645,16222,UNSAT,5.739859,705,17392,UNSAT,3.891938,635,14889
94,randN100_K3_R4.3_L430_217.cnf,100,430,False,0.001638,UNSAT,2.528428,370,10201,UNSAT,3.576638,516,14703,UNSAT,2.925698,399,10960,UNSAT,2.99124,505,12073
95,randN100_K3_R4.3_L430_109.cnf,100,430,False,0.003326,UNSAT,3.187261,424,11857,UNSAT,11.748977,1001,29472,UNSAT,8.192177,863,21964,UNSAT,10.502951,1022,26432
96,randN100_K3_R4.3_L430_142.cnf,100,430,False,0.003217,UNSAT,2.527785,370,10361,UNSAT,2.80953,434,12050,UNSAT,3.246328,471,12635,UNSAT,6.045895,757,18556
97,randN100_K3_R4.3_L430_140.cnf,100,430,False,0.001948,UNSAT,2.177282,332,9259,UNSAT,3.489269,512,13872,UNSAT,3.647197,510,13062,UNSAT,5.461543,722,18051
98,randN100_K3_R4.3_L430_2.cnf,100,430,False,0.001607,UNSAT,2.230706,337,9077,UNSAT,3.718011,547,14825,UNSAT,4.261716,564,14792,UNSAT,4.221392,660,15891
99,randN100_K3_R4.3_L430_143.cnf,100,430,False,0.001667,UNSAT,3.095721,448,11548,UNSAT,3.270248,523,13599,UNSAT,2.523104,394,10019,UNSAT,1.867634,375,9154
