,filename,variables,clauses,SAT,time_cryptosat,result_random,time_random,branches_random,implications_random,result_two_clause,time_two_clause,branches_two_clause,implications_two_clause,result_max_freq,time_max_freq,branches_max_freq,implications_max_freq,result_DLCS,time_DLCS,branches_DLCS,implications_DLCS,result_VSIDS,time_VSIDS,branches_VSIDS,implications_VSIDS
114,randN50_K3_R4.3_L215_29.cnf,50,215,False,0.000173,UNSAT,0.408382,233,3092,UNSAT,0.066772,36,684,UNSAT,0.074486,47,792,UNSAT,0.100261,50,940,UNSAT,0.084867,62,912
115,randN50_K3_R4.3_L215_127.cnf,50,214,False,0.000151,UNSAT,0.088081,67,953,UNSAT,0.056649,31,563,UNSAT,0.037376,25,444,UNSAT,0.040262,22,406,UNSAT,0.059924,42,675
116,randN50_K3_R4.3_L215_78.cnf,50,214,False,0.00022,UNSAT,0.555564,287,3774,UNSAT,0.099629,53,922,UNSAT,0.168506,99,1719,UNSAT,0.215422,99,1920,UNSAT,0.160007,103,1441
117,randN50_K3_R4.3_L215_154.cnf,50,215,False,0.000192,UNSAT,1.010265,418,5663,UNSAT,0.056403,30,573,UNSAT,0.061374,48,686,UNSAT,0.085895,50,804,UNSAT,0.084895,62,892
118,randN50_K3_R4.3_L215_176.cnf,50,215,False,0.000195,UNSAT,0.649194,324,4175,UNSAT,0.074739,42,765,UNSAT,0.085002,51,965,UNSAT,0.126798,72,1198,UNSAT,0.139012,93,1501
119,randN50_K3_R4.3_L215_281.cnf,50,215,False,0.000172,UNSAT,0.337256,202,2870,UNSAT,0.080452,40,835,UNSAT,0.098542,61,1117,UNSAT,0.130657,69,1116,UNSAT,0.153741,97,1601
120,randN50_K3_R4.3_L215_190.cnf,50,215,False,0.000195,UNSAT,0.222592,141,1950,UNSAT,0.066593,38,690,UNSAT,0.09129,66,948,UNSAT,0.105129,61,919,UNSAT,0.074334,53,744
121,randN50_K3_R4.3_L215_200.cnf,50,214,False,0.000224,UNSAT,0.46297,259,3404,UNSAT,0.110824,55,1138,UNSAT,0.174862,100,1667,UNSAT,0.179126,83,1512,UNSAT,0.173145,110,1670
122,randN50_K3_R4.3_L215_84.cnf,50,215,False,0.000217,UNSAT,0.791268,368,4930,UNSAT,0.097898,52,978,UNSAT,0.170907,100,1609,UNSAT,0.124046,61,1209,UNSAT,0.182706,88,1644
123,randN50_K3_R4.3_L215_163.cnf,50,215,False,0.000189,UNSAT,0.535621,262,3868,UNSAT,0.04909,27,499,UNSAT,0.224703,116,2192,UNSAT,0.201732,99,1724,UNSAT,0.13895,91,1518
124,randN50_K3_R4.3_L215_147.cnf,50,215,False,0.0001,UNSAT,0.305779,193,2493,UNSAT,0.047737,28,476,UNSAT,0.041255,32,482,UNSAT,0.050311,29,455,UNSAT,0.039567,34,462
125,randN50_K3_R4.3_L215_216.cnf,50,214,False,0.000157,UNSAT,1.028417,436,5774,UNSAT,0.07405,44,715,UNSAT,0.08311,57,918,UNSAT,0.104827,62,930,UNSAT,0.078708,55,852
126,randN50_K3_R4.3_L215_193.cnf,50,215,False,0.000114,UNSAT,0.14156,130,1376,UNSAT,0.069156,43,755,UNSAT,0.043871,34,508,UNSAT,0.040156,24,407,UNSAT,0.057489,48,662
127,randN50_K3_R4.3_L215_119.cnf,50,215,False,0.000198,UNSAT,0.456335,243,3363,UNSAT,0.09591,51,1011,UNSAT,0.100458,56,1134,UNSAT,0.110585,59,1029,UNSAT,0.11142,85,1148
128,randN50_K3_R4.3_L215_187.cnf,50,215,False,0.000144,UNSAT,0.568326,298,3997,UNSAT,0.054491,33,561,UNSAT,0.048232,31,591,UNSAT,0.088568,52,812,UNSAT,0.075977,59,841
